Node,Label,SGD,OGEE,DEG,SOD,essential
YIL016W,ORF-V,0,0,0,0,0
YDL108W,ORF-V,1,1,1,3,1
YDR504C,ORF-V,0,0,0,0,0
YPR191W,ORF-V,0,0,0,0,0
TH(GUG)M,tRNA gene,0,0,0,0,0
YDR230W,ORF-DU,0,0,0,0,0
YLR351C,ORF-V,0,0,0,0,0
YHL021C,ORF-V,0,0,0,0,0
YKL090W,ORF-V,0,0,0,0,0
YCL002C,ORF-U,0,0,0,0,0
YBR268W,ORF-V,0,0,0,0,0
YPR129W,ORF-V,0,0,0,0,0
YGL173C,ORF-V,0,0,0,0,0
YFL031W,ORF-V,0,0,0,0,0
YLR249W,ORF-V,1,1,1,3,1
YOR051C,ORF-V,0,0,0,0,0
RDN37-1,rRNA gene,0,0,0,0,0
YPR179C,ORF-V,0,0,0,0,0
YNL261W,ORF-V,1,1,1,3,1
YOL021C,ORF-V,1,0,1,2,1
YOL089C,ORF-V,0,0,0,0,0
YLR455W,ORF-V,0,0,0,0,0
YBL045C,ORF-V,0,0,0,0,0
TA(AGC)M2,tRNA gene,0,0,0,0,0
YEL008W,ORF-U,0,0,0,0,0
YKL129C,ORF-V,0,0,0,0,0
YDR275W,ORF-V,0,0,0,0,0
YBR056W,ORF-V,0,0,0,0,0
YJR051W,ORF-V,0,0,0,0,0
YAR068W,ORF-U,0,0,0,0,0
YMR223W,ORF-V,1,0,0,1,1
YLR274W,ORF-V,1,1,1,3,1
YMR069W,ORF-V,0,0,0,0,0
YDR003W,ORF-V,0,0,0,0,0
YJL139C,ORF-V,0,0,0,0,0
YBLWDELTA8,LTR,0,0,0,0,0
YLR028C,ORF-V,0,0,0,0,0
YLL034C,ORF-V,1,1,1,3,1
YLR038C,ORF-V,0,0,0,0,0
YAR027W,ORF-V,0,0,0,0,0
YER148w-a,ORF-DU,0,0,0,0,0
YER059W,ORF-V,0,0,0,0,0
YGL022W,ORF-V,1,1,1,3,1
YNL197C,ORF-V,1,0,0,1,1
YDL080C,ORF-V,0,0,0,0,0
