Node,Label
YLR340W,ORF-V
TA(AGC)K1,tRNA gene
YLL058W,ORF-U
YCR024C-A,ORF-V
YJL039C,ORF-V
YML050W,ORF-V
YJR156C,ORF-V
YDR491C,ORF-DU
YOR336W,ORF-V
YDL181W,ORF-V
YOR300W,ORF-DU
YIR013C,ORF-V
YLR178C,ORF-V
YBR154C,ORF-V
YOR171C,ORF-V
YJR162C,ORF-DU
SNR61,snoRNA gene
YML023C,ORF-V
YGR058W,ORF-V
YPR077C,ORF-DU
YOR167C,ORF-V
YGR115C,ORF-DU
SCR1,ORF-V
YOR236W,ORF-V
YDR183W,ORF-V
YJR036C,ORF-V
YLR065C,ORF-V
SNR52,snoRNA gene
YAR075W,ORF-DU
YKL026C,ORF-V
YKL111C,ORF-DU
YDR452W,ORF-V
YOR332W,ORF-V
YLL059C,ORF-DU
YKL216W,ORF-V
YCR018C,ORF-V
YHR196W,ORF-V
YJLWDELTA9,LTR
YNL270C,ORF-V
YDRWDELTA10,LTR
YLR192C,ORF-V
YHL028W,ORF-V
YOL061W,ORF-V
YCR084C,ORF-V
YHR217C,ORF-DU
YBR107C,ORF-V
YJL189W,ORF-V
YOR274W,ORF-V
YLL045C,ORF-V
YILCDELTA2,LTR
YOR258W,ORF-V
YGLWTAU2,LTR
SNR34,snoRNA gene
YDR459C,ORF-V
YDL120W,ORF-V
YKRWOMEGA1,LTR
YLR057W,ORF-V
YIL037C,ORF-V
YPL187W,ORF-V
YDR120C,ORF-V
YHL006w-a,ORF-DU
YER128W,ORF-V
YER043C,ORF-V
YDR231C,ORF-V
YBLCDELTA7,LTR
YDL013W,ORF-V
YERCOMEGA1,LTR
YML053C,ORF-U
YKLWDELTA7,LTR
YCLWTY5-1,LTR
YEL001C,ORF-V
YDR233C,ORF-V
YDR540C,ORF-V
YJL069C,ORF-V
YDL061C,ORF-V
YBR225W,ORF-U
YGL187C,ORF-V
YDR403W,ORF-V
YBR239C,ORF-V
YBL017C,ORF-V
YGL165C,ORF-DU
YGL227W,ORF-V
YLR236C,ORF-U
YAR007C,ORF-V
YBL059W,ORF-U
YDL063C,ORF-V
YNL045W,ORF-V
YLL025W,ORF-V
YPR158W,ORF-V
YBR199W,ORF-V
YIL140W,ORF-V
YIL143C,ORF-V
YGL168W,ORF-V
YBL025W,ORF-V
YDRCDELTA9,LTR
YML071C,ORF-V
YJL024C,ORF-V
YJL017W,ORF-M
YJR089W,ORF-V
YGR019W,ORF-V
YDR492W,ORF-V
YOL022C,ORF-V
YDR139C,ORF-V
YMRWDELTA12,LTR
YEL067C,ORF-U
YGL056C,ORF-V
SNR190,snoRNA gene
YOR212W,ORF-V
YNL210W,ORF-V
YML038C,ORF-V
YDR369C,ORF-V
YPR164W,ORF-V
YNR057C,ORF-V
YPL166W,ORF-V
YDL174C,ORF-V
YLR300W,ORF-V
YDR390C,ORF-V
YBL014C,ORF-V
YKR087C,ORF-V
YHR024C,ORF-V
YCL076W,ORF-DU
YDL241W,ORF-U
YPL106C,ORF-V
YMR043W,ORF-V
YGL096W,ORF-V
YKR072C,ORF-V
YLR213C,ORF-V
YDR236C,ORF-V
YDL143W,ORF-V
YKR090W,ORF-V
YOR158W,ORF-V
YFL003C,ORF-V
YPL259C,ORF-V
YDRWDELTA23,LTR
YDR203W,ORF-DU
YOR135C,ORF-DU
YPL220W,ORF-V
YOR328W,ORF-V
YCL022C,ORF-DU
YOL072W,ORF-V
YNL051W,ORF-V
YNL318C,ORF-V
YBL090W,ORF-V
YJLCDELTA6,LTR
YBR065C,ORF-V
YER030W,ORF-V
YLL002W,ORF-V
YBR030W,ORF-V
YER022W,ORF-V
YML029W,ORF-V
YOR091W,ORF-V
YER184C,ORF-V
