index,protein,dc
898,YMR138W,3.6326
899,YOR115C,3.6326
900,YGR047C,10.8978
901,YNL147W,10.8978
902,YDR408C,3.6326
903,YHR084W,10.8978
904,YDL239C,7.2652
905,YER162C,7.2652
906,YBR274W,14.5304
907,YLR345W,3.6326
908,YHR197W,14.5304
909,YDR394W,7.2652
910,YMR112C,7.2652
911,YMR117C,7.2652
912,YPR110C,7.2652
913,YNL021W,3.6326
914,YIL050W,3.6326
915,YIL128W,3.6326
916,YJR090C,7.2652
917,YKL061W,3.6326
918,YPL260W,3.6326
919,YOR111W,3.6326
920,YHR079C,3.6326
921,YOR212W,0.0
