index,protein,dc
951,YDR478W,29421.0
952,YER006W,81730.0
953,YGL203C,1797001.0
954,YJR118C,281641.0
955,YKR088C,116989.0
956,YDR166C,90013.0
957,YOR020C,27392.0
958,YNR034W,26627.0
959,YDR427W,177065.0
960,YDR039C,101392.0
961,YJR131W,0.0
962,YGL084C,25123.0
963,YER035W,118744.0
964,YLR242C,0.0
965,YML101C,51986.0
966,YER016W,0.0
967,YGL048C,303641.0
968,YJR042W,104889.0
969,YBR210W,35761.0
970,YDR086C,82531.0
971,YNL187W,26240.0
972,YDR170C,318287.0
973,YDR141C,293306.0
974,YHR081W,107231.0
975,YKR048C,420206.0
976,YGR020C,866003.0
977,YJL153C,424449.0
978,YDR190C,30596.0
979,YOR276W,156248.0
980,YDR352W,111788.0
981,YPL045W,42377.0
982,YNL281W,59361.0
983,YLR237W,34831.0
984,YLR200W,188116.0
985,YKL002W,61372.0
986,YDL055C,205089.0
987,YDL074C,50189.0
988,YPR048W,43558.0
989,YPR121W,23716.0
990,YPL070W,44302.0
991,YBR267W,407256.0
992,YLR216C,101219.0
993,YER145C,1299587.0
994,YML018C,313516.0
995,YMR192W,102530.0
996,YJL034W,30384.0
997,YNL182C,58562.0
998,YOR162C,26714.0
999,YOL012C,180778.0
1000,YAL008W,108677.0
1001,YDR293C,429623.0
1002,YLL021W,32308.0
1003,YHL016C,639935.0
1004,YOR132W,217670.0
1005,YHR116W,23761.0
1006,YER068W,751987.0
1007,YNL247W,24708.0
1008,YPL186C,192311.0
1009,YDL198C,77750.0
1010,YHR008C,57830.0
1011,YHR069C,53127.0
1012,YDL037C,26889.0
1013,YML001W,148279.0
1014,YIL070C,196186.0
1015,YDR071C,31021.0
1016,YGL027C,0.0
1017,YOR014W,26202.0
1018,YDL168W,34947.0
1019,YKR007W,602576.0
1020,YBR247C,32578.0
1021,YFR004W,120551.0
1022,YDL236W,57317.0
1023,YHL048W,44708.0
1024,YIL035C,87264.0
1025,YLR330W,272091.0
1026,YAL054C,28675.0
1027,YNL173C,30437.0
1028,YBR215W,25475.0
1029,YDR421W,24558.0
1030,YNL147W,39187.0
1031,YHR084W,47760.0
1032,YLR246W,24269.0
1033,YOR323C,26238.0
1034,YJR010C-A,279913.0
1035,YHR114W,77997.0
1036,YLR345W,102211.0
1037,YAL026C,178159.0
1038,YJL117W,176594.0
1039,YDR394W,190578.0
1040,YOL044W,30980.0
1041,YMR112C,59315.0
1042,YPR110C,110119.0
1043,YER093C,24361.0
1044,YMR125W,61815.0
1045,YEL051W,739968.0
1046,YHR004C,26255.0
1047,YIL128W,43080.0
1048,YKL126W,25106.0
1049,YIL048W,52868.0
1050,YAL020C,28819.0
1051,YGR135W,118360.0
1052,YKR092C,144385.0
