rank,protein,driver_score
299,YDR517W,0.592159282844605
300,YHR059W,0.5921230214890822
301,YHR111W,0.5920126405573639
302,YLR441C,0.5917657239312785
303,YLL021W,0.5917048137591006
304,YDL089W,0.5914751938292849
305,YDL156W,0.5913145881823673
306,YDL149W,0.5912924867916722
307,YPL126W,0.5912746374819088
308,YLR270W,0.59116824412143
309,YNL182C,0.5909644962116908
310,YPL169C,0.5909582252906102
311,YNL104C,0.5907179165285729
312,YJL024C,0.5904496634146281
313,YGR233C,0.5902943898661157
314,YOR319W,0.590129353218003
315,YIL145C,0.5900428255987626
316,YER146W,0.5898230114321955
317,YOR271C,0.5897022537622701
318,YHR013C,0.5895175272860228
319,YPR176C,0.5892403958672308
320,YKL045W,0.5891113892797352
321,YBL038W,0.5890243996658254
322,YDR251W,0.5889715646751611
323,YOR138C,0.5888144941446936
324,YOL147C,0.5886559767661549
325,YDL219W,0.5883585876212943
326,YJL140W,0.5882051338671679
327,YPR184W,0.5880939586096269
328,YDR392W,0.588032217436268
329,YCR072C,0.5878787979028488
330,YGR185C,0.5878205769172853
331,YDR044W,0.5878124049391715
332,YJR076C,0.5875876244361539
333,YER007C-A,0.5874092205462614
334,YHR186C,0.5871633323348023
335,YDR296W,0.587119685458627
336,YBR039W,0.5869075313320686
337,YPL101W,0.5867740972537583
338,YDL166C,0.5867261235817834
339,YKL126W,0.5865204654056231
340,YFR031C,0.5862822786562782
341,YAL047C,0.5862003485283737
342,YBL007C,0.5860005156321518
343,YNL244C,0.5857911591377198
344,YNR053C,0.5856146393048212
345,YLR139C,0.5855593606487558
346,YHR121W,0.5854139679517203
