rank,protein,driver_score
412,YOL139C,0.5863776732197697
413,YBR285W,0.5862736579463825
414,YOL133W,0.586132959612113
415,YBR219C,0.5860114002112455
416,YLR040C,0.5859090808544707
417,YMR226C,0.5858182995185608
418,YMR154C,0.5857272356718339
419,YMR123W,0.5856234300435682
420,YLL049W,0.5855317222735713
421,YDR304C,0.5854473320694172
422,YEL057C,0.5853054347103472
423,YOR127W,0.5851747371855327
424,YPL149W,0.5850508531352018
425,YGR152C,0.5849333654122266
426,YDL111C,0.5848068351720023
427,YDL164C,0.584691160784412
428,YER017C,0.584576071591325
429,YKL047W,0.584478096947217
430,YJR135C,0.5843451002202023
431,YGR283C,0.5842364758644176
432,YNR007C,0.5841573879276984
433,YBR241C,0.5840310924453402
434,YJL166W,0.5839023311652031
435,YLR072W,0.5837857664734428
436,YJL039C,0.5836783151529756
437,YGR193C,0.5836187541681734
438,YLR083C,0.583474169671418
439,YHR059W,0.5833436223006973
440,YBR217W,0.5832461383071669
441,YDR490C,0.5832108931446824
442,YPL092W,0.583091629288673
443,YML088W,0.582976291597005
444,YDR469W,0.5828805895439471
445,YNL190W,0.5828043761879921
446,YOL043C,0.5826797492129482
447,YEL064C,0.5825675378426981
448,YML075C,0.5824800827723824
449,YDL134C,0.5823723372769128
450,YKL029C,0.5822492392414907
451,YJR002W,0.5821524831547669
452,YHR128W,0.5820361703728212
453,YBR301W,0.5819203578133687
454,YER028C,0.5817992429459004
455,YJL002C,0.5817014630564736
456,YNR041C,0.5816011173958636
