index,protein,dc
741,YNL116W,3.2738
742,YML125C,6.5476
743,YNL032W,6.5476
744,YMR048W,6.5476
745,YOL001W,3.2738
746,YJR135C,3.2738
747,YGR074W,3.2738
748,YLR219W,3.2738
749,YNL225C,6.5476
750,YBR087W,6.5476
751,YPL047W,3.2738
752,YNR010W,3.2738
753,YER150W,3.2738
754,YKL008C,3.2738
755,YGR017W,3.2738
756,YDR308C,3.2738
757,YOR230W,6.5476
758,YGR177C,19.6428
759,YLR167W,3.2738
760,YNR030W,6.5476
761,YIL074C,13.0952
762,YDL125C,3.2738
763,YJL124C,3.2738
764,YIR038C,144.0471999999999
765,YJL090C,13.0952
766,YNL099C,6.5476
767,YDR121W,6.5476
768,YMR205C,3.2738
769,YGR024C,3.2738
770,YLR440C,3.2738
771,YER047C,16.369
772,YFL028C,3.2738
773,YGL175C,9.8214
774,YML108W,3.2738
775,YCL059C,3.2738
776,YNL329C,6.5476
777,YOR042W,6.5476
778,YDR100W,88.39259999999997
779,YGL122C,22.916600000000003
780,YML051W,94.94019999999996
781,YDL120W,9.8214
782,YNL199C,9.8214
783,YER130C,3.2738
784,YBR052C,3.2738
785,YDR428C,3.2738
786,YNL258C,6.5476
787,YPL149W,13.0952
788,YOR167C,3.2738
789,YGR262C,6.5476
790,YNL111C,13.0952
791,YDR323C,3.2738
792,YHL011C,3.2738
793,YHL012W,3.2738
794,YDL164C,13.0952
795,YNL290W,3.2738
796,YGR027C,6.5476
797,YIL033C,6.5476
798,YMR042W,3.2738
799,YJR047C,3.2738
800,YHR060W,3.2738
801,YJR121W,3.2738
802,YBR133C,3.2738
803,YOR094W,3.2738
804,YGR057C,3.2738
805,YMR298W,6.5476
806,YDR383C,6.5476
807,YLL057C,3.2738
808,YCL066W,9.8214
809,YPR153W,3.2738
810,YMR077C,13.0952
811,YML029W,49.10700000000001
812,YGL223C,3.2738
813,YJL173C,6.5476
814,YNL152W,3.2738
815,YDR439W,3.2738
816,YOR355W,3.2738
817,YBR042C,3.2738
818,YPL053C,6.5476
819,YOR353C,9.8214
820,YPL178W,3.2738
821,YLR186W,3.2738
822,YNL138W,3.2738
823,YML055W,16.369
824,YBR244W,6.5476
825,YIR017C,3.2738
826,YLR405W,3.2738
827,YDL117W,3.2738
828,YGR129W,3.2738
829,YOR117W,13.0952
830,YJR011C,6.5476
831,YLL010C,3.2738
832,YNL042W,3.2738
833,YBR221C,3.2738
834,YLR223C,3.2738
835,YPR176C,6.5476
836,YMR270C,3.2738
837,YGR218W,3.2738
838,YJR070C,3.2738
839,YNL189W,72.0236
840,YNL044W,36.01180000000001
841,YBL047C,6.5476
842,YPR181C,9.8214
843,YCR009C,9.8214
844,YAR027W,68.74980000000001
845,YOR301W,3.2738
846,YJR073C,3.2738
847,YML023C,6.5476
848,YDR434W,3.2738
849,YOR265W,6.5476
850,YKR014C,6.5476
851,YBR201W,3.2738
852,YKL071W,9.8214
853,YGR003W,3.2738
854,YDR416W,26.190400000000004
855,YER062C,3.2738
856,YDL113C,3.2738
857,YGL054C,3.2738
858,YLR010C,3.2738
859,YHR140W,3.2738
860,YER118C,9.8214
861,YLR368W,6.5476
862,YHR034C,6.5476
863,YGL044C,3.2738
864,YDR045C,6.5476
865,YML035C,9.8214
866,YDR152W,3.2738
867,YNL288W,29.464200000000005
868,YKL052C,3.2738
869,YGR134W,3.2738
870,YIL051C,3.2738
871,YEL012W,3.2738
872,YJR044C,6.5476
873,YDR418W,3.2738
874,YJL070C,3.2738
875,YCR024C,3.2738
876,YPL208W,3.2738
877,YDR453C,3.2738
878,YDR159W,3.2738
879,YIL079C,9.8214
880,YJL218W,16.369
881,YDR488C,9.8214
882,YPL094C,68.74980000000001
883,YGR130C,6.5476
884,YNL088W,3.2738
885,YEL056W,6.5476
886,YMR104C,3.2738
887,YKL043W,3.2738
888,YPR174C,19.6428
889,YJL019W,39.28560000000001
890,YOR288C,6.5476
891,YOR377W,3.2738
892,YOR026W,6.5476
893,YHR129C,9.8214
894,YDR173C,6.5476
895,YJR003C,19.6428
896,YGL108C,3.2738
897,YLR036C,3.2738
898,YLR132C,16.369
899,YPL268W,6.5476
900,YLR173W,3.2738
901,YDR357C,6.5476
902,YHR193C,9.8214
903,YLR258W,13.0952
904,YDR195W,3.2738
905,YLR206W,16.369
906,YMR024W,9.8214
907,YGR121C,3.2738
908,YML028W,6.5476
909,YBR252W,3.2738
910,YER021W,3.2738
911,YLR350W,13.0952
912,YJR076C,9.8214
913,YBR222C,3.2738
914,YAL055W,6.5476
915,YDR192C,3.2738
916,YDL132W,6.5476
917,YGL106W,3.2738
918,YOR007C,6.5476
919,YKL020C,3.2738
920,YNL124W,9.8214
921,YJR053W,3.2738
922,YDL157C,3.2738
923,YDL073W,3.2738
924,YNL127W,3.2738
925,YDR020C,3.2738
926,YER019W,3.2738
927,YDL188C,3.2738
928,YIR003W,3.2738
929,YJL104W,9.8214
930,YPL266W,3.2738
931,YML062C,6.5476
932,YER015W,6.5476
933,YFL039C,19.6428
