dataset,taxaID,locus,gene,essentiality,pmid,Ref_db
116,580240,S000000529,KCC4,NE,,SGD
116,580240,S000000530,AGP1,NE,,SGD
116,580240,S000000532,FUS1,NE,,SGD
116,580240,S000000533,RNQ1,C,,SGD
116,580240,S000000534,BIK1,NE,,SGD
116,580240,S000000535,HIS4,NE,,SGD
116,580240,S000000536,RRP7,E,,SGD
116,580240,S000000537,STE50,NE,,SGD
116,580240,S000000538,MXR2,NE,,SGD
116,580240,S000000539,LSB5,NE,,SGD
116,580240,S000000540,GRX1,NE,,SGD
116,580240,S000000541,GFD2,NE,,SGD
116,580240,S000000542,SRO9,NE,,SGD
116,580240,S000000543,ATG22,NE,,SGD
116,580240,S000000544,GID7,NE,,SGD
116,580240,S000000545,GLK1,NE,,SGD
116,580240,S000000546,,E,,SGD
116,580240,S000000547,,NE,,SGD
116,580240,S000000548,PDI1,E,,SGD
116,580240,S000000549,MGR1,NE,,SGD
116,580240,S000000550,EMC1,NE,,SGD
116,580240,S000000551,,NE,,SGD
116,580240,S000000552,POF1,NE,,SGD
116,580240,S000000553,SPS22,NE,,SGD
116,580240,S000000554,,NE,,SGD
116,580240,S000000555,APA1,NE,,SGD
116,580240,S000000556,LRE1,NE,,SGD
116,580240,S000000557,PBN1,E,,SGD
116,580240,S000000559,SPB1,C,,SGD
116,580240,S000000560,KAR4,NE,,SGD
116,580240,S000000561,PEX34,NE,,SGD
116,580240,S000000562,PRD1,NE,,SGD
116,580240,S000000563,FYV5,NE,,SGD
116,580240,S000000564,KRR1,E,,SGD
116,580240,S000000566,MRC1,NE,,SGD
116,580240,S000000568,VAC17,NE,,SGD
116,580240,S000000569,CHA1,NE,,SGD
116,580240,S000000572,HMLALPHA2,E,,SGD
116,580240,S000000574,VBA3,NE,,SGD
116,580240,S000000579,,NE,,SGD
116,580240,S000000580,,NE,,SGD
116,580240,S000000581,,NE,,SGD
116,580240,S000000589,FRM2,NE,,SGD
116,580240,S000000594,,NE,,SGD
116,580240,S000000595,CDC10,NE,,SGD
116,580240,S000000596,MRPL32,NE,,SGD
116,580240,S000000597,YCP4,NE,,SGD
116,580240,S000000598,CIT2,NE,,SGD
116,580240,S000000599,,NE,,SGD
116,580240,S000000600,,NE,,SGD
116,580240,S000000601,SAT4,NE,,SGD
116,580240,S000000602,RVS161,NE,,SGD
116,580240,S000000603,ADY2,NE,,SGD
116,580240,S000000604,ADP1,NE,,SGD
116,580240,S000000605,PGK1,E,,SGD
116,580240,S000000606,,E,,SGD
116,580240,S000000607,POL4,NE,,SGD
116,580240,S000000608,CTO1,NE,,SGD
116,580240,S000000609,,NE,,SGD
116,580240,S000000610,CWH43,NE,,SGD
116,580240,S000000612,MAK32,NE,,SGD
116,580240,S000000613,PET18,NE,,SGD
116,580240,S000000614,MAK31,NE,,SGD
116,580240,S000000615,HSP30,NE,,SGD
116,580240,S000000616,,NE,,SGD
116,580240,S000000617,,NE,,SGD
116,580240,S000000618,SLM5,NE,,SGD
116,580240,S000000619,PMP1,NE,,SGD
116,580240,S000000620,,NE,,SGD
116,580240,S000000621,NPP1,NE,,SGD
116,580240,S000000622,RHB1,NE,,SGD
116,580240,S000000623,FEN2,NE,,SGD
116,580240,S000000626,SYP1,NE,,SGD
116,580240,S000000627,RPS14A,NE,,SGD
116,580240,S000000628,BPH1,NE,,SGD
116,580240,S000000629,SNT1,NE,,SGD
116,580240,S000000630,ELO2,NE,,SGD
116,580240,S000000631,RRP43,E,,SGD
116,580240,S000000632,RBK1,NE,,SGD
116,580240,S000000633,PHO87,NE,,SGD
116,580240,S000000635,MATALPHA2,E,,SGD
116,580240,S000000639,,NE,,SGD
116,580240,S000000640,PER1,NE,,SGD
116,580240,S000000641,RRT12,NE,,SGD
116,580240,S000000642,IMG1,NE,,SGD
116,580240,S000000643,BUD23,NE,,SGD
116,580240,S000000644,ARE1,NE,,SGD
116,580240,S000000645,,NE,,SGD
116,580240,S000000646,,NE,,SGD
116,580240,S000000647,,NE,,SGD
116,580240,S000000648,RSC6,E,,SGD
116,580240,S000000649,THR4,NE,,SGD
116,580240,S000000650,CTR86,E,,SGD
116,580240,S000000653,PWP2,E,,SGD
116,580240,S000000655,YIH1,NE,,SGD
116,580240,S000000656,TAH1,NE,,SGD
116,580240,S000000657,,NE,,SGD
116,580240,S000000659,BUD31,NE,,SGD
116,580240,S000000660,,NE,,SGD
116,580240,S000000661,HCM1,NE,,SGD
116,580240,S000000662,RAD18,NE,,SGD
116,580240,S000000663,SED4,NE,,SGD
116,580240,S000000664,ATG15,NE,,SGD
116,580240,S000000665,CPR4,NE,,SGD
116,580240,S000000667,IMG2,NE,,SGD
116,580240,S000000668,RSA4,E,,SGD
116,580240,S000000669,SSK22,NE,,SGD
116,580240,S000000671,ERS1,NE,,SGD
116,580240,S000000672,FUB1,NE,,SGD
116,580240,S000000673,PAT1,NE,,SGD
116,580240,S000000677,SRB8,NE,,SGD
116,580240,S000000678,AHC2,NE,,SGD
116,580240,S000000679,TRX3,NE,,SGD
116,580240,S000000680,TUP1,NE,,SGD
116,580240,S000000681,,NE,,SGD
116,580240,S000000682,CSM1,NE,,SGD
116,580240,S000000683,,NE,,SGD
116,580240,S000000684,ABP1,C,,SGD
116,580240,S000000685,FIG2,NE,,SGD
116,580240,S000000686,,NE,,SGD
116,580240,S000000687,KIN82,NE,,SGD
116,580240,S000000688,MSH3,NE,,SGD
116,580240,S000000689,CDC39,C,,SGD
116,580240,S000000690,CDC50,NE,,SGD
116,580240,S000000691,OCA4,NE,,SGD
116,580240,S000000692,HMRA2,E,,SGD
116,580240,S000000695,GIT1,NE,,SGD
116,580240,S000000696,,NE,,SGD
116,580240,S000000697,,NE,,SGD
116,580240,S000000698,,NE,,SGD
